,date,sku,group,name,quantity,unit_cogs,agg_cogs,unit_revenue,gross_margin,sunrise,sunset,HeatIndexC,cloudcover,humidity,tempC,Avgtemp
126,2018-01-01,18848,GENERAL_FOOD,BURACZKI WIORKI 360 G SLON.OGRÓD,3.0,"1,48",4.44,2.26,34.51,08:52 AM,04:31 PM,6,79,89,8,5.5
127,2018-01-01,15434,ICE_CREAMS_FROZEN,BURGERY Z WARZYWAMI LUZ RYBNE,1.15,"5,76",6.6,7.84,26.5,08:52 AM,04:31 PM,6,79,89,8,5.5
128,2018-01-01,15291,PACKAGES,BUTELKA-0_33,22.0,"0,42",9.24,0.43,2.33,08:52 AM,04:31 PM,6,79,89,8,5.5
129,2018-01-01,8221,BREAD,C BAGIETKA,33.0,"2,5",82.5,2.85,12.43,08:52 AM,04:31 PM,6,79,89,8,5.5
130,2018-01-01,3450,BREAD,C BULKA GRAHAMKA/ALPEJSKA,198.0,"0,72",141.84,0.78,8.2,08:52 AM,04:31 PM,6,79,89,8,5.5
131,2018-01-01,7780,BREAD,C BULKA SEROWA,232.0,"0,72",168.12,0.94,22.91,08:52 AM,04:31 PM,6,79,89,8,5.5
132,2018-01-01,13830,BREAD,C BULKA TARTA 0_5KG,30.0,"1,57",47.1,1.84,14.61,08:52 AM,04:31 PM,6,79,89,8,5.5
133,2018-01-01,18718,BREAD,C CHLEB DWORSKI,14.0,"2,48",34.72,3.04,18.42,08:52 AM,04:31 PM,6,79,89,8,5.5
134,2018-01-01,3,BREAD,C CHLEB KROJONY 0_6 KG,411.0,"2,58",1061.14,2.87,10.1,08:52 AM,04:31 PM,6,79,89,8,5.5
135,2018-01-01,9077,BREAD,C CHLEB KROJONY 0_9 KG,45.0,"4,19",188.34,4.65,9.92,08:52 AM,04:31 PM,6,79,89,8,5.5
136,2018-01-01,7640,BREAD,C CHLEB KROJONY 250G,49.0,"1,29",63.24,1.46,11.43,08:52 AM,04:31 PM,6,79,89,8,5.5
137,2018-01-01,4,BREAD,C CHLEB MAZOWIECKI 600G_,48.0,"1,94",93.3,2.25,13.61,08:52 AM,04:31 PM,6,79,89,8,5.5
138,2018-01-01,7103,BREAD,C CHLEB RAZOWY 1KG,8.0,"3,5",28.0,3.99,12.17,08:52 AM,04:31 PM,6,79,89,8,5.5
139,2018-01-01,10822,BREAD,C CHLEB TOSTOWY 0_3,6.0,"2,48",14.88,3.04,18.42,08:52 AM,04:31 PM,6,79,89,8,5.5
140,2018-01-01,9166,BREAD,C CHLEB WIEJSKI 0.6,42.5,"2,57",109.29,2.91,11.63,08:52 AM,04:31 PM,6,79,89,8,5.5
141,2018-01-01,4224,BREAD,C CHLEB ZIARNISTY 300G,44.0,"2,55",112.1,2.79,8.76,08:52 AM,04:31 PM,6,79,89,8,5.5
142,2018-01-01,12396,GENERAL_FOOD,C PYZY CIAZYNSKI,46.0,"3,31",152.26,4.02,17.72,08:52 AM,04:31 PM,6,79,89,8,5.5
143,2018-01-01,2381,COFFEE TEA,CAPPUCCINO WANILIA MOKATE 110GR,2.0,"2,09",4.18,3.0,30.33,08:52 AM,04:31 PM,6,79,89,8,5.5
144,2018-01-01,17706,DRINK_JUICE,CAPPY  1 L JAB?KO,1.0,"3,28",3.28,2.34,-40.17,08:52 AM,04:31 PM,6,79,89,8,5.5
145,2018-01-01,15363,DRINK_JUICE,CAPPY MULTIWITAMIN 1 L,2.0,"4,22",8.44,5.7,25.96,08:52 AM,04:31 PM,6,79,89,8,5.5
146,2018-01-01,8632,GENERAL_FOOD,CHEETOS MIX 70 G,2.0,"2,29",4.58,3.04,24.67,08:52 AM,04:31 PM,6,79,89,8,5.5
147,2018-01-01,3441,CHIPS_FLAKES,CHETOS MINIONKI 80 G,4.0,"2,12",8.48,2.72,22.06,08:52 AM,04:31 PM,6,79,89,8,5.5
148,2018-01-01,8520,CHIPS_FLAKES,CHETOS UP 16 G,6.0,"0,65",3.9,0.87,25.29,08:52 AM,04:31 PM,6,79,89,8,5.5
149,2018-01-01,7620,CHIPS_FLAKES,CHIPSY LAY`S FROMAGE 40G,4.0,"0,99",3.96,0.81,-22.22,08:52 AM,04:31 PM,6,79,89,8,5.5
150,2018-01-01,8562,BREAD,CHLEB .TOST XXL 750 G...,2.0,"4,64",9.28,6.63,30.02,08:52 AM,04:31 PM,6,79,89,8,5.5
151,2018-01-01,4492,GENERAL_FOOD,CHLEB RAZOWY 500G BENUS,4.0,"2,78",11.12,4.06,31.53,08:52 AM,04:31 PM,6,79,89,8,5.5
